Complexity_type,PredictedTestData,Scientificness,Subject,text
fact,L-F,E-PS,pri&sec,Black light is made up of all the colors 
fact,L-F,E-PS,objects,and white light reflects everything 
fact,L-F,E-BS,objects,If you look at something that is blue all the colors are absorbed except blue and that is for every other color 
fact,L-F,E-BS,postimage,There are three eye cones in our eyes and the colors are red green and blue 
explanation,L-EE,E-BS,northern,The Northern lights are red pink ghostly greens the Northern lights happen when the sun bombards earth with particles that are electric When they hit the highest part of the earths atmosphere they electrify the air and it glows 
fact,L-F,E-BS,materials,Light and materials A transparent object is a see through 
fact,L-F,E-BS,materials,a translucent object is see through but a little burier 
fact,L-F,E-BS,materials,An opaque object is not see through 
fact,L-F,E-BS,reflection,A concave object is is pushed back and if you look into a concave mirror you see yourself upside and 
fact,L-F,E-H,reflection,a convex object is pushed out and if you look into a convex mirror you see yourself right side up but you are very large 
fact,L-F,E-BS,reflection,The law of reflection is if light hit s a mirror on a 90 degree angle and it goes back ons 90 degree angle 
fact,L-F,E-BS,diffused,Diffuse reflection is if you crumple tin foil the light goes all over the place 
fact,L-F,E-S,lens,A convex lens concentrates the light 
fact,L-F,E-S,lens,a concave lens spreads the light out 
explanation,L-E,E-BS,refraction,Water refracting light is when light goes in the water after light is in air the light is bent by the water 
explanation,L-E,E-BS,eclipse,An eclipse course when The Earth or the moon blocks the suns light 
explanation,L-E,E-BS,eclipse,A solar eclipse happens when The moon is between the sun and the earth and the moon blocks the suns light 
explanation,L-EE,E-BS,eclipse,A lunar eclipse is when the earth is between the moon and the sun in which the sun shines on earth and makes a shadow on the moon which makes the moon in total darkness 
explanation,L-E,E-BS,shadow,A shadow is when light is shewn on a opaque object and the shadow is what is behind the opaque object 
fact,L-EF,E-S,shadow,When colored light is shined at a opaque object the shadow is black like a normal shadow but when you shine two colored lights there are two shadow and the colors are the colors of the light 
fact,L-F,E-S,sundial,Sundials are a form of telling time You can tell the time by the position of the shadow 
fact,L-EF,E-BS,shadow,Shadows also are used to tell directions like north and south you also look at the shadow and that will tell you the direction you are walking in 
explanation,L-E,E-S,travel,light travels in all directions I need to understand does light travel in a strait line or something else My theory's that light travels in wave lines but they appear straight 
explanation,L-E,E-BS,see,All we see is light 
fact,L-F,E-S,pri&sec,the primary colors of light are red green and blue 
fact,L-F,E-S,pri&sec,The secondary colors of light are Yellow magenta and cyan 
fact,L-F,E-S,pri&sec,White light is made from the primary colors mixed 
explanation,L-E,E-BS,objects,If a white light is shined on a red flower the green and blue is absorbed and the red is reflected that is how we see a red flower 
explanation,L-E,E-BS,pri&sec,if you shine white light on a yellow flower the red and green is reflected and the blue is absorbed 
fact,L-F,E-BS,prism&rainbow,If you shine light on a prism it makes a rainbow
explanation,L-E,E-BS,rainbow,We belove that a rain drop can make a rainbow 
fact,L-F,E-BS,postimage,Eye cones are cones in your eyes that help you see colors 
fact,L-F,E-BS,northern,Northern lights are colored lights 
fact,L-F,E-BS,materials,Transparent objects are objects that can not be seen through and are opaque 
fact,L-F,E-BS,materials,Translucent objects are objects are you can see through but not perfectly 
fact,L-F,E-BS,materials,An opaque object is a object that is sold and cannot be seen through 
fact,L-F,E-BS,reflection,A concave mirror is a mirror that goes in and when light is shewn on it the light gets focused 
fact,L-F,E-BS,reflection,A convex mirror is a mirror that goes out and when you shine light on it the light bounces off straight looking 
fact,L-F,E-BS,reflection,The law of reflection is the angle of incidence equals the angle of reflection 
fact,L-F,E-BS,diffused,If you shine a light source on a crinkly piece of tinfoil the reflection goes every where and is called a diffuse reflection 
fact,L-F,E-BS,lens,A concave lens goes in 
fact,L-F,E-BS,lens,and a convex lens goes out 
fact,L-F,E-BS,sunpanel,Solar panels are panels used with light 
fact,L-F,E-BS,bio,Photoluminescence is a animal that makes its own light 
fact,L-F,E-BS,glow,Chemiluminescence is chemical made light 
fact,L-F,E-BS,glow,fluorescence is things that glow like a glow sticks from a party 
fact,L-F,E-BS,laser,Lasers are a really strong form of light 
